scope,dataset,system,system_display,input_rows,successful_rows,failed_rows,provider_failure_examples,answer_calls_total,answer_calls_per_input_example,input_tokens_per_example,output_tokens_per_example,total_tokens_per_example,cost_total_usd,usd_per_example,cost_coverage,latency_median_ms,latency_p95_ms,latency_available_successful_examples,latency_denominator_successful_examples,status_counts,missingness
by_dataset,convfinqa,direct,Direct,50,50,0,0,50,1.0,1360.72,8.14,1368.86,0.021214016999999998,0.00042428034,1.0,799.8680209966551,1197.9888062520326,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,convfinqa,cot,CoT/PoT,50,50,0,0,50,1.0,1376.72,208.2,1584.92,0.046209042,0.00092418084,1.0,1580.350478998298,4218.41974634517,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,convfinqa,nexus,Static Nexus,50,50,0,0,50,1.0,3384.14,69.76,3453.9,0.058887279,0.00117774558,1.0,1028.9803959967685,2299.242122251598,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,convfinqa,react,ReAct,50,50,0,0,162,3.24,3568.0,328.34,3896.34,0.093616875,0.0018723375000000001,1.0,3943.3997080013796,7787.535054054023,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,convfinqa,selective,Selective Nexus,50,50,0,0,122,2.44,3564.04,254.14,3818.18,0.084375819,0.00168751638,1.0,3421.9108125071216,8152.359949453965,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
primary_3_dataset,aggregate,direct,Direct,150,150,0,0,150,1.0,1063.8666666666666,10.793333333333333,1074.66,0.051402285,0.0003426819,1.0,827.1802915005537,1272.776756253006,150,150,"{""success"": 150}","{""estimated_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 150, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 150, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 150, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 150, ""missing_examples"": 150}, ""total_tokens"": {""denominator"": 150, ""missing_examples"": 0}}"
primary_3_dataset,aggregate,cot,CoT/PoT,150,150,0,0,150,1.0,1079.8666666666666,201.35333333333332,1281.22,0.122860485,0.0008190699,1.0,1708.827353999368,3097.7126792018653,150,150,"{""success"": 150}","{""estimated_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 150, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 150, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 150, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 150, ""missing_examples"": 150}, ""total_tokens"": {""denominator"": 150, ""missing_examples"": 0}}"
primary_3_dataset,aggregate,nexus,Static Nexus,150,150,0,0,150,1.0,2708.6466666666665,88.12666666666667,2796.7733333333335,0.151476039,0.00100984026,1.0,1162.9312705008488,2247.6850347495188,150,150,"{""success"": 150}","{""estimated_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 150, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 150, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 150, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 150, ""missing_examples"": 150}, ""total_tokens"": {""denominator"": 150, ""missing_examples"": 0}}"
primary_3_dataset,aggregate,react,ReAct,150,150,0,0,446,2.973333333333333,2608.713333333333,284.62,2893.3333333333335,0.221883354,0.00147922236,1.0,3611.037375005253,7003.262233596248,150,150,"{""success"": 150}","{""estimated_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 150, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 150, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 150, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 150, ""missing_examples"": 150}, ""total_tokens"": {""denominator"": 150, ""missing_examples"": 0}}"
primary_3_dataset,aggregate,selective,Selective Nexus,150,150,0,0,329,2.1933333333333334,2681.42,215.28666666666666,2896.7066666666665,0.1982894463,0.001321929642,1.0,3044.8094794992357,7240.668892602115,150,150,"{""success"": 150}","{""estimated_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 150, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 150, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 150, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 150, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 150, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 150, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 150, ""missing_examples"": 0}}"
